波长(nm),相对强度
-239.165597,13.0
-238.862768,59.0
-238.55993899999999,70.0
-238.25710999999998,91.0
-237.95428099999998,79.0
-237.65145199999998,24.0
-237.348623,14.0
-237.045794,24.0
-236.742965,35.0
-236.440136,26.0
-236.137307,25.0
-235.834478,49.0
-235.531649,63.0
-235.22881999999998,57.0
-234.92599099999998,56.0
-234.62316199999998,93.0
-234.320333,30.0
-234.017504,44.0
-233.714675,59.0
-233.411846,11.0
-233.109017,7.0
-232.806188,65.0
-232.503359,83.0
-232.20053,29.0
-231.89770099999998,34.0
-231.59487199999998,8.0
-231.29204299999998,13.0
-230.989214,56.0
-230.686385,32.0
-230.383556,34.0
-230.080727,18.0
-229.777898,26.0
-229.475069,94.0
-229.17224,56.0
-228.86941099999999,3.0
-228.56658199999998,67.0
-228.26375299999998,57.0
-227.96092399999998,10.0
-227.658095,6.0
-227.355266,67.0
-227.052437,22.0
-226.749608,48.0
-226.446779,80.0
-226.14395,57.0
-225.841121,85.0
-225.53829199999998,122.0
-225.23546299999998,42.0
-224.93263399999998,90.0
-224.62980499999998,63.0
-224.326976,33.0
-224.024147,49.0
-223.721318,28.0
-223.418489,33.0
-223.11566,85.0
-222.812831,42.0
-222.510002,49.0
-222.20717299999998,29.0
-221.90434399999998,3.0
-221.601515,3.0
-221.29868599999998,27.0
-220.995857,42.0
-220.693028,18.0
-220.390199,54.0
-220.08737,23.0
-219.784541,47.0
-219.481712,88.0
-219.17888299999998,44.0
-218.87605399999998,106.0
-218.57322499999998,131.0
-218.270396,95.0
-217.96756699999997,72.0
-217.664738,112.0
-217.361909,32.0
-217.05908,71.0
-216.756251,59.0
-216.453422,43.0
-216.150593,105.0
-215.84776399999998,123.0
-215.54493499999998,89.0
-215.24210599999998,81.0
-214.939277,88.0
-214.636448,106.0
-214.333619,109.0
-214.03079,134.0
-213.727961,108.0
-213.425132,134.0
-213.122303,126.0
-212.81947399999999,103.0
-212.51664499999998,94.0
-212.21381599999998,37.0
-211.91098699999998,65.0
-211.608158,7.0
-211.305329,5.0
-211.0025,86.0
-210.699671,79.0
-210.396842,95.0
-210.094013,77.0
-209.791184,22.0
-209.48835499999998,6.0
-209.18552599999998,14.0
-208.88269699999998,36.0
-208.57986799999998,1.0
-208.277039,36.0
-207.97421,43.0
-207.671381,15.0
-207.368552,12.0
-207.065723,71.0
-206.762894,106.0
-206.460065,57.0
-206.15723599999998,2.0
-205.85440699999998,57.0
-205.551578,86.0
-205.24874899999998,128.0
-204.94592,84.0
-204.643091,0.0
-204.340262,5.0
-204.037433,31.0
-203.734604,23.0
-203.431775,73.0
-203.12894599999998,82.0
-202.82611699999998,71.0
-202.52328799999998,52.0
-202.220459,83.0
-201.91762999999997,11.0
-201.614801,81.0
-201.311972,76.0
-201.009143,22.0
-200.706314,107.0
-200.403485,81.0
-200.100656,91.0
-199.79782699999998,76.0
-199.49499799999998,58.0
-199.19216899999998,19.0
-198.88934,12.0
-198.58651099999997,20.0
-198.283682,40.0
-197.980853,67.0
-197.678024,51.0
-197.375195,48.0
-197.072366,89.0
-196.76953699999999,87.0
-196.46670799999998,64.0
-196.16387899999998,75.0
-195.86104999999998,82.0
-195.558221,106.0
-195.25539199999997,89.0
-194.952563,41.0
-194.649734,8.0
-194.346905,94.0
-194.044076,129.0
-193.741247,88.0
-193.43841799999998,27.0
-193.13558899999998,83.0
-192.83275999999998,61.0
-192.52993099999998,19.0
-192.227102,33.0
-191.92427299999997,19.0
-191.621444,68.0
-191.318615,48.0
-191.015786,12.0
-190.712957,60.0
-190.410128,50.0
-190.10729899999998,92.0
-189.80446999999998,114.0
-189.501641,59.0
-189.19881199999998,21.0
-188.895983,69.0
-188.593154,68.0
-188.290325,42.0
-187.987496,77.0
-187.684667,22.0
-187.381838,56.0
-187.07900899999999,41.0
-186.77617999999998,25.0
-186.47335099999998,99.0
-186.170522,83.0
-185.86769299999997,74.0
-185.564864,86.0
-185.262035,31.0
-184.959206,101.0
-184.656377,68.0
-184.353548,52.0
-184.050719,118.0
-183.74788999999998,47.0
-183.44506099999998,35.0
-183.14223199999998,113.0
-182.839403,132.0
-182.53657399999997,89.0
-182.233745,77.0
-181.930916,10.0
-181.628087,8.0
-181.325258,69.0
-181.022429,56.0
-180.71959999999999,74.0
-180.41677099999998,37.0
-180.11394199999998,67.0
-179.81111299999998,72.0
-179.508284,53.0
-179.20545499999997,33.0
-178.902626,5.0
-178.599797,47.0
-178.296968,22.0
-177.994139,2.0
-177.69131,9.0
-177.38848099999998,13.0
-177.08565199999998,48.0
-176.78282299999998,91.0
-176.47999399999998,35.0
-176.177165,46.0
-175.87433599999997,6.0
-175.571507,4.0
-175.268678,76.0
-174.965849,65.0
-174.66302,96.0
-174.360191,90.0
-174.05736199999998,37.0
-173.75453299999998,11.0
-173.451704,22.0
-173.14887499999998,101.0
